Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2545,0,0,0,0,159,44,2748,900,3648,0.00703771,0.0656425,-0.997818,0
2569,0,0,0,0,159,47,2775,813,3588,-0.00968181,0.0224206,-0.999702,0
2488,0,0,0,0,169,46,2703,873,3576,0.0168826,-0.0430078,-0.998932,0
2571,0,0,0,0,188,52,2811,752,3563,0.00714028,0.0324435,-0.999448,0
2416,0,0,0,0,197,54,2667,804,3471,0.0100492,-0.0527576,-0.998557,0
2563,0,0,0,0,220,58,2841,959,3800,0.00248258,-0.110885,-0.99383,0
2436,0,0,0,0,219,59,2714,953,3667,-0.00417323,-0.188037,-0.982153,0
2579,0,0,0,0,232,67,2878,982,3860,0.00403495,-0.223735,-0.974642,0
2551,0,0,0,0,245,66,2862,1101,3963,0.0286062,-0.24843,-0.968227,0
3530,0,0,0,0,412,101,4043,1720,5763,0.0274177,-0.083074,-0.996166,0
2852,0,0,0,0,298,72,3222,1151,4373,-0.0238232,-0.0214008,-0.999487,0
2698,0,0,0,0,333,75,3106,1019,4125,0.0128528,-0.0778205,-0.996885,0
2417,0,0,0,0,339,90,2846,1110,3956,0.0109943,0.00937458,-0.999896,0
2678,0,0,0,0,339,84,3101,1124,4225,0.0223922,-0.0650244,-0.997632,0
3038,0,0,0,0,320,79,3437,1034,4471,0.0246627,-0.0759321,-0.996808,0
2803,0,0,0,0,328,84,3215,1005,4220,0.0218069,0.0302042,-0.999306,0
2588,0,0,0,0,318,80,2986,1105,4091,0.0632076,-0.000198614,-0.998,0
2718,0,0,0,0,334,93,3145,1016,4161,0.0499204,-0.0637715,-0.996715,0
2703,0,0,0,0,434,92,3229,1394,4623,0.0221996,-0.145894,-0.989051,0
2661,0,0,0,0,364,89,3114,1075,4189,0.0142921,0.121298,-0.992513,0
2640,0,0,0,0,360,88,3088,1927,5015,0.0377666,0.044125,-0.998312,0
2860,0,0,0,0,370,90,3320,1701,5021,0.0213962,-0.0334028,-0.999213,0
2704,0,0,0,0,438,94,3236,1404,4640,0.0217373,-0.0175645,-0.999609,0
2790,0,0,0,0,470,118,3378,1286,4664,-0.015037,-0.0722044,-0.997276,0
2677,0,0,0,0,395,93,3165,1130,4295,-0.00997788,-0.17555,-0.98442,0
