timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806014.411,2375,0.00,14.41,486.30,0.05
1784806014.411,2384,0.00,14.57,486.30,0.05
1784806014.461,2372,239.70,170.61,1647.71,0.54
1784806014.461,2375,0.00,14.41,486.30,0.05
1784806014.461,2384,0.00,14.57,486.30,0.05
1784806014.511,2372,239.40,170.61,1647.71,0.54
1784806014.511,2375,0.00,14.41,486.30,0.05
1784806014.511,2384,0.00,14.57,486.30,0.05
1784806014.561,2372,479.60,170.61,1647.71,0.54
1784806014.561,2375,0.00,14.41,486.30,0.05
1784806014.561,2384,0.00,14.57,486.30,0.05
1784806014.611,2372,259.60,170.86,1647.71,0.54
1784806014.611,2375,0.00,14.41,486.30,0.05
1784806014.611,2384,0.00,14.57,486.30,0.05
1784806014.661,2372,359.50,170.86,1647.71,0.54
1784806014.661,2375,0.00,14.41,486.30,0.05
1784806014.661,2384,0.00,14.57,486.30,0.05
1784806014.711,2372,299.60,170.86,1647.71,0.54
1784806014.711,2375,0.00,14.41,486.30,0.05
1784806014.711,2384,0.00,14.57,486.30,0.05
1784806014.762,2372,299.20,170.86,1647.71,0.54
1784806014.762,2375,0.00,14.41,486.30,0.05
1784806014.762,2384,19.50,14.57,486.30,0.05
1784806014.812,2372,239.70,171.11,1647.71,0.54
1784806014.812,2375,0.00,14.41,486.30,0.05
1784806014.812,2384,0.00,14.57,486.30,0.05
1784806014.862,2372,239.30,171.11,1647.71,0.54
1784806014.862,2375,0.00,14.41,486.30,0.05
1784806014.862,2384,0.00,14.57,486.30,0.05
1784806014.912,2372,339.40,171.11,1647.71,0.54
1784806014.912,2375,0.00,14.41,486.30,0.05
1784806014.912,2384,0.00,14.57,486.30,0.05
1784806014.962,2372,279.50,171.23,1647.71,0.54
1784806014.962,2375,0.00,14.41,486.30,0.05
1784806014.962,2384,0.00,14.57,486.30,0.05
1784806015.012,2372,259.20,171.23,1647.71,0.54
1784806015.012,2375,0.00,14.41,486.30,0.05
1784806015.012,2384,0.00,14.57,486.30,0.05
1784806015.062,2372,259.40,171.23,1647.71,0.54
1784806015.062,2375,0.00,14.41,486.30,0.05
1784806015.062,2384,0.00,14.57,486.30,0.05
1784806015.112,2372,279.70,171.36,1647.71,0.54
1784806015.112,2375,0.00,14.41,486.30,0.05
1784806015.112,2384,0.00,14.57,486.30,0.05
1784806015.162,2372,259.70,171.36,1647.71,0.54
1784806015.162,2375,0.00,14.41,486.30,0.05
1784806015.162,2384,0.00,14.57,486.30,0.05
1784806015.212,2372,319.00,171.36,1647.71,0.54
1784806015.212,2375,0.00,14.41,486.30,0.05
1784806015.212,2384,0.00,14.57,486.30,0.05
1784806015.263,2372,559.20,171.61,1647.71,0.54
1784806015.263,2375,0.00,14.41,486.30,0.05
1784806015.263,2384,0.00,14.57,486.30,0.05
1784806015.313,2372,479.20,171.61,1647.71,0.54
1784806015.313,2375,0.00,14.41,486.30,0.05
1784806015.313,2384,0.00,14.57,486.30,0.05
1784806015.363,2372,319.30,161.29,1647.71,0.51
1784806015.363,2375,0.00,14.41,486.30,0.05
1784806015.363,2384,0.00,14.57,486.30,0.05
1784806015.413,2372,479.20,168.29,1647.71,0.53
1784806015.413,2375,0.00,14.41,486.30,0.05
1784806015.413,2384,0.00,14.57,486.30,0.05
1784806015.463,2372,279.60,172.17,1647.71,0.54
1784806015.463,2375,0.00,14.41,486.30,0.05
1784806015.463,2384,0.00,14.57,486.30,0.05
1784806015.513,2372,319.50,172.17,1647.71,0.54
1784806015.513,2375,0.00,14.41,486.30,0.05
1784806015.513,2384,0.00,14.57,486.30,0.05
1784806015.563,2372,319.00,172.17,1647.71,0.54
1784806015.563,2375,0.00,14.41,486.30,0.05
1784806015.563,2384,0.00,14.57,486.30,0.05
1784806015.613,2372,299.50,177.42,1647.71,0.56
1784806015.613,2375,0.00,14.41,486.30,0.05
1784806015.613,2384,0.00,14.57,486.30,0.05
1784806015.663,2372,259.60,177.79,1647.71,0.56
1784806015.663,2375,0.00,14.41,486.30,0.05
1784806015.663,2384,0.00,14.57,486.30,0.05
1784806015.713,2372,379.50,178.17,1647.71,0.56
1784806015.713,2375,0.00,14.41,486.30,0.05
1784806015.713,2384,0.00,14.57,486.30,0.05
1784806015.764,2372,258.80,191.42,1647.71,0.60
1784806015.764,2375,0.00,14.41,486.30,0.05
1784806015.764,2384,0.00,14.57,486.30,0.05
1784806015.814,2372,219.10,202.04,1647.71,0.64
1784806015.814,2375,0.00,14.41,486.30,0.05
1784806015.814,2384,0.00,14.57,486.30,0.05
1784806015.864,2372,379.30,202.04,1647.71,0.64
1784806015.864,2375,0.00,14.41,486.30,0.05
1784806015.864,2384,0.00,14.57,486.30,0.05
1784806015.914,2372,279.60,194.20,1647.71,0.61
1784806015.914,2375,0.00,14.41,486.30,0.05
1784806015.914,2384,0.00,14.57,486.30,0.05
1784806015.964,2372,378.30,194.20,1647.71,0.61
1784806015.964,2375,0.00,14.41,486.30,0.05
1784806015.964,2384,0.00,14.57,486.30,0.05
1784806016.014,2372,559.30,200.70,1647.71,0.63
1784806016.014,2375,0.00,14.41,486.30,0.05
1784806016.014,2384,0.00,14.57,486.30,0.05
1784806016.064,2372,239.80,200.95,1647.71,0.64
1784806016.064,2375,0.00,14.41,486.30,0.05
1784806016.064,2384,0.00,14.57,486.30,0.05
1784806016.114,2372,359.20,200.95,1647.71,0.64
1784806016.114,2375,0.00,14.41,486.30,0.05
1784806016.114,2384,0.00,14.57,486.30,0.05
1784806016.165,2372,379.40,188.59,1647.71,0.60
1784806016.165,2375,0.00,14.41,486.30,0.05
1784806016.165,2384,0.00,14.57,486.30,0.05
1784806016.215,2372,439.20,188.59,1647.71,0.60
1784806016.215,2375,0.00,14.41,486.30,0.05
1784806016.215,2384,0.00,14.57,486.30,0.05
1784806016.265,2372,399.20,188.76,1647.71,0.60
1784806016.265,2375,0.00,14.41,486.30,0.05
1784806016.265,2384,0.00,14.57,486.30,0.05
1784806016.315,2372,299.40,197.64,1647.71,0.62
1784806016.315,2375,0.00,14.41,486.30,0.05
1784806016.315,2384,0.00,14.57,486.30,0.05
1784806016.365,2372,458.60,197.64,1647.71,0.62
1784806016.365,2375,0.00,14.41,486.30,0.05
1784806016.365,2384,0.00,14.57,486.30,0.05
1784806016.415,2372,179.70,198.14,1647.71,0.63
1784806016.415,2375,0.00,14.41,486.30,0.05
1784806016.415,2384,0.00,14.57,486.30,0.05
1784806016.465,2372,359.00,198.14,1647.71,0.63
1784806016.465,2375,0.00,14.41,486.30,0.05
1784806016.465,2384,0.00,14.57,486.30,0.05
1784806016.515,2372,239.80,198.39,1647.71,0.63
1784806016.515,2375,0.00,14.41,486.30,0.05
1784806016.515,2384,0.00,14.57,486.30,0.05
1784806016.565,2372,359.50,198.39,1647.71,0.63
1784806016.565,2375,0.00,14.41,486.30,0.05
1784806016.565,2384,0.00,14.57,486.30,0.05
1784806016.615,2372,159.70,198.64,1647.71,0.63
1784806016.615,2375,0.00,14.41,486.30,0.05
1784806016.615,2384,0.00,14.57,486.30,0.05
1784806016.665,2372,299.20,198.64,1647.71,0.63
1784806016.665,2375,0.00,14.41,486.30,0.05
1784806016.665,2384,0.00,14.57,486.30,0.05
1784806016.716,2372,159.70,198.76,1647.71,0.63
1784806016.716,2375,0.00,14.41,486.30,0.05
1784806016.716,2384,0.00,14.57,486.30,0.05
1784806016.766,2372,319.30,198.76,1647.71,0.63
1784806016.766,2375,0.00,14.41,486.30,0.05
1784806016.766,2384,0.00,14.57,486.30,0.05
1784806016.816,2372,279.50,193.14,1647.71,0.61
1784806016.816,2375,0.00,14.41,486.30,0.05
1784806016.816,2384,0.00,14.57,486.30,0.05
1784806016.866,2372,399.50,193.14,1647.71,0.61
1784806016.866,2375,0.00,14.41,486.30,0.05
1784806016.866,2384,0.00,14.57,486.30,0.05
1784806016.916,2372,239.40,193.84,1647.71,0.61
1784806016.916,2375,0.00,14.41,486.30,0.05
1784806016.916,2384,0.00,14.57,486.30,0.05
1784806016.966,2372,479.20,193.84,1647.71,0.61
1784806016.966,2375,0.00,14.41,486.30,0.05
1784806016.966,2384,0.00,14.57,486.30,0.05
1784806017.016,2372,359.10,192.73,1647.71,0.61
1784806017.016,2375,0.00,14.41,486.30,0.05
1784806017.016,2384,0.00,14.57,486.30,0.05
1784806017.066,2372,259.90,197.05,1647.71,0.62
1784806017.066,2375,0.00,14.41,486.30,0.05
1784806017.066,2384,0.00,14.57,486.30,0.05
1784806017.116,2372,259.60,203.05,1647.71,0.64
1784806017.116,2375,0.00,14.41,486.30,0.05
1784806017.116,2384,0.00,14.57,486.30,0.05
1784806017.166,2372,419.40,203.05,1647.71,0.64
1784806017.166,2375,0.00,14.41,486.30,0.05
1784806017.166,2384,0.00,14.57,486.30,0.05
1784806017.216,2372,199.70,203.17,1647.71,0.64
1784806017.216,2375,0.00,14.41,486.30,0.05
1784806017.216,2384,0.00,14.57,486.30,0.05
1784806017.266,2372,379.00,203.17,1647.71,0.64
1784806017.266,2375,0.00,14.41,486.30,0.05
1784806017.266,2384,0.00,14.57,486.30,0.05
1784806017.317,2372,479.50,205.55,1647.71,0.65
1784806017.317,2375,0.00,14.41,486.30,0.05
1784806017.317,2384,0.00,14.57,486.30,0.05
1784806017.367,2372,379.10,205.55,1647.71,0.65
1784806017.367,2375,0.00,14.41,486.30,0.05
1784806017.367,2384,0.00,14.57,486.30,0.05
1784806017.417,2372,339.20,206.05,1647.71,0.65
1784806017.417,2375,0.00,14.41,486.30,0.05
1784806017.417,2384,19.90,14.57,486.30,0.05
1784806017.467,2372,379.50,206.05,1647.71,0.65
1784806017.467,2375,0.00,14.41,486.30,0.05
1784806017.467,2384,0.00,14.57,486.30,0.05
1784806017.517,2372,239.40,206.17,1647.71,0.65
1784806017.517,2375,0.00,14.41,486.30,0.05
1784806017.517,2384,0.00,14.57,486.30,0.05
1784806017.567,2372,519.30,206.17,1647.71,0.65
1784806017.567,2375,0.00,14.41,486.30,0.05
1784806017.567,2384,0.00,14.57,486.30,0.05
1784806017.617,2372,299.80,207.67,1647.71,0.66
1784806017.617,2375,0.00,14.41,486.30,0.05
1784806017.617,2384,0.00,14.57,486.30,0.05
