timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806441.728,3071,179.20,565.13,1993.57,1.79
1784806441.728,3076,0.00,14.56,486.30,0.05
1784806441.728,3100,0.00,14.38,486.30,0.05
1784806441.778,3071,139.90,547.36,1975.80,1.73
1784806441.778,3076,0.00,14.56,486.30,0.05
1784806441.778,3100,0.00,14.38,486.30,0.05
1784806441.828,3071,199.80,565.14,1993.59,1.79
1784806441.828,3076,0.00,14.56,486.30,0.05
1784806441.828,3100,0.00,14.38,486.30,0.05
1784806441.878,3071,179.40,547.36,1975.80,1.73
1784806441.878,3076,0.00,14.56,486.30,0.05
1784806441.878,3100,0.00,14.38,486.30,0.05
1784806441.928,3071,119.90,565.15,1993.60,1.79
1784806441.928,3076,0.00,14.56,486.30,0.05
1784806441.928,3100,0.00,14.38,486.30,0.05
1784806441.979,3071,179.70,547.36,1975.80,1.73
1784806441.979,3076,0.00,14.56,486.30,0.05
1784806441.979,3100,0.00,14.38,486.30,0.05
1784806442.029,3071,99.70,565.16,1993.61,1.79
1784806442.029,3076,0.00,14.56,486.30,0.05
1784806442.029,3100,0.00,14.38,486.30,0.05
1784806442.079,3071,139.80,547.36,1975.80,1.73
1784806442.079,3076,0.00,14.56,486.30,0.05
1784806442.079,3100,0.00,14.38,486.30,0.05
1784806442.129,3071,119.90,565.17,1993.61,1.79
1784806442.129,3076,0.00,14.56,486.30,0.05
1784806442.129,3100,0.00,14.38,486.30,0.05
1784806442.179,3071,99.80,547.36,1975.80,1.73
1784806442.179,3076,0.00,14.56,486.30,0.05
1784806442.179,3100,0.00,14.38,486.30,0.05
1784806442.229,3071,139.80,565.18,1993.62,1.79
1784806442.229,3076,0.00,14.56,486.30,0.05
1784806442.229,3100,0.00,14.38,486.30,0.05
1784806442.279,3071,159.70,547.36,1975.80,1.73
1784806442.279,3076,0.00,14.56,486.30,0.05
1784806442.279,3100,0.00,14.38,486.30,0.05
1784806442.329,3071,119.90,565.18,1993.62,1.79
1784806442.329,3076,0.00,14.56,486.30,0.05
1784806442.329,3100,0.00,14.38,486.30,0.05
1784806442.379,3071,119.70,547.25,1975.80,1.73
1784806442.379,3076,0.00,14.56,486.30,0.05
1784806442.379,3100,0.00,14.38,486.30,0.05
