timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806549.942,3309,0.00,14.66,486.30,0.05
1784806549.993,3303,458.80,177.78,1647.68,0.56
1784806549.993,3308,0.00,14.41,486.30,0.05
1784806549.993,3309,0.00,14.66,486.30,0.05
1784806550.043,3303,479.30,194.03,1647.68,0.61
1784806550.043,3308,0.00,14.41,486.30,0.05
1784806550.043,3309,0.00,14.66,486.30,0.05
1784806550.093,3303,419.50,179.41,1647.68,0.57
1784806550.093,3308,0.00,14.41,486.30,0.05
1784806550.093,3309,0.00,14.66,486.30,0.05
1784806550.143,3303,279.20,195.16,1647.68,0.62
1784806550.143,3308,0.00,14.41,486.30,0.05
1784806550.143,3309,0.00,14.66,486.30,0.05
1784806550.193,3303,579.10,195.16,1647.68,0.62
1784806550.193,3308,0.00,14.41,486.30,0.05
1784806550.193,3309,0.00,14.66,486.30,0.05
1784806550.243,3303,439.10,183.56,1647.68,0.58
1784806550.243,3308,0.00,14.41,486.30,0.05
1784806550.243,3309,20.00,14.66,486.30,0.05
1784806550.293,3303,379.40,178.32,1647.68,0.56
1784806550.293,3308,0.00,14.41,486.30,0.05
1784806550.293,3309,0.00,14.66,486.30,0.05
1784806550.343,3303,459.40,185.20,1647.68,0.59
1784806550.343,3308,0.00,14.41,486.30,0.05
1784806550.343,3309,0.00,14.66,486.30,0.05
1784806550.393,3303,378.80,200.07,1647.68,0.63
1784806550.393,3308,0.00,14.41,486.30,0.05
1784806550.393,3309,0.00,14.66,486.30,0.05
1784806550.443,3303,499.50,200.07,1647.68,0.63
1784806550.443,3308,0.00,14.41,486.30,0.05
1784806550.443,3309,0.00,14.66,486.30,0.05
1784806550.493,3303,559.20,203.32,1647.68,0.64
1784806550.493,3308,0.00,14.41,486.30,0.05
1784806550.493,3309,0.00,14.66,486.30,0.05
1784806550.544,3303,399.30,178.77,1647.68,0.56
1784806550.544,3308,0.00,14.41,486.30,0.05
1784806550.544,3309,0.00,14.66,486.30,0.05
1784806550.594,3303,179.60,195.52,1647.68,0.62
1784806550.594,3308,0.00,14.41,486.30,0.05
1784806550.594,3309,0.00,14.66,486.30,0.05
1784806550.644,3303,139.50,200.52,1647.68,0.63
1784806550.644,3308,0.00,14.41,486.30,0.05
1784806550.644,3309,0.00,14.66,486.30,0.05
1784806550.694,3303,219.20,203.52,1647.68,0.64
1784806550.694,3308,0.00,14.41,486.30,0.05
1784806550.694,3309,0.00,14.66,486.30,0.05
1784806550.744,3303,239.40,184.00,1647.68,0.58
1784806550.744,3308,0.00,14.41,486.30,0.05
1784806550.744,3309,0.00,14.66,486.30,0.05
1784806550.794,3303,299.50,202.87,1647.68,0.64
1784806550.794,3308,0.00,14.41,486.30,0.05
1784806550.794,3309,0.00,14.66,486.30,0.05
1784806550.844,3303,119.70,204.37,1647.68,0.65
1784806550.844,3308,0.00,14.41,486.30,0.05
1784806550.844,3309,0.00,14.66,486.30,0.05
1784806550.894,3303,299.20,205.87,1647.68,0.65
1784806550.894,3308,0.00,14.41,486.30,0.05
1784806550.894,3309,0.00,14.66,486.30,0.05
1784806550.945,3303,359.70,203.00,1647.68,0.64
1784806550.945,3308,0.00,14.41,486.30,0.05
1784806550.945,3309,0.00,14.66,486.30,0.05
1784806550.995,3303,259.50,204.50,1647.68,0.65
1784806550.995,3308,0.00,14.41,486.30,0.05
1784806550.995,3309,0.00,14.66,486.30,0.05
1784806551.045,3303,159.30,206.00,1647.68,0.65
1784806551.045,3308,0.00,14.41,486.30,0.05
1784806551.045,3309,0.00,14.66,486.30,0.05
1784806551.095,3303,199.90,209.62,1647.68,0.66
1784806551.095,3308,0.00,14.41,486.30,0.05
1784806551.095,3309,0.00,14.66,486.30,0.05
1784806551.145,3303,79.70,209.62,1647.68,0.66
1784806551.145,3308,0.00,14.41,486.30,0.05
1784806551.145,3309,0.00,14.66,486.30,0.05
1784806551.195,3303,299.10,209.62,1647.68,0.66
1784806551.195,3308,0.00,14.41,486.30,0.05
1784806551.195,3309,0.00,14.66,486.30,0.05
1784806551.245,3303,219.80,210.50,1647.68,0.67
1784806551.245,3308,0.00,14.41,486.30,0.05
1784806551.245,3309,0.00,14.66,486.30,0.05
1784806551.295,3303,119.70,210.50,1647.68,0.67
1784806551.295,3308,0.00,14.41,486.30,0.05
1784806551.295,3309,0.00,14.66,486.30,0.05
1784806551.345,3303,419.60,210.50,1647.68,0.67
1784806551.345,3308,0.00,14.41,486.30,0.05
1784806551.345,3309,0.00,14.66,486.30,0.05
1784806551.395,3303,439.20,210.62,1647.68,0.67
1784806551.395,3308,0.00,14.41,486.30,0.05
1784806551.395,3309,0.00,14.66,486.30,0.05
1784806551.446,3303,359.20,210.62,1647.68,0.67
1784806551.446,3308,0.00,14.41,486.30,0.05
1784806551.446,3309,0.00,14.66,486.30,0.05
