Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
2415,0,311,62,377,17,34,3216,-1,-1,-1,-1,-1
3422,0,473,115,620,22,62,4714,-1,-1,-1,-1,-1
3498,0,481,103,586,20,60,4748,-1,-1,-1,-1,-1
6052,0,846,167,1263,32,121,8481,-1,-1,-1,-1,-1
2448,0,383,78,446,20,45,3420,-1,-1,-1,-1,-1
1609,0,247,42,246,15,22,2181,-1,-1,-1,-1,-1
1904,0,322,74,388,15,39,2742,1074,3816,0.00627229,-0.0881111,-0.996091
6461,0,1037,194,1175,49,108,9024,3686,12710,0.0199202,-0.106097,-0.994156
4992,0,716,167,870,36,77,6858,2328,9186,0.0118396,-0.0546314,-0.998436
3090,0,564,100,682,21,56,4513,1682,6195,0.0274596,-0.0757307,-0.99675
4942,0,939,170,1167,29,98,7345,2804,10149,0.0304733,-0.0939223,-0.995113
5070,0,1210,178,1312,44,99,7913,2579,10492,0.018596,-0.110388,-0.993715
3574,0,714,135,856,22,80,5381,1564,6945,0.0382828,-0.066683,-0.99704
7009,0,1267,248,1546,37,130,10237,2437,12674,0.0259215,-0.0861884,-0.995942
4249,0,932,181,1148,32,99,6641,2733,9374,0.0164337,-0.0907311,-0.99574
6506,0,1414,282,1759,56,162,10179,2845,13024,0.0329103,-0.0881082,-0.995567
3191,0,731,146,946,27,79,5120,1687,6807,0.0609489,-0.0622302,-0.996199
6509,0,1502,287,1944,47,155,10444,3995,14439,0.045623,-0.0942765,-0.9945
4306,0,1033,213,1341,30,103,7026,2859,9885,0.0127927,-0.0839203,-0.99639
3216,0,756,130,937,24,86,5149,2780,7929,-0.00318642,-0.0631771,-0.997997
6462,0,1382,265,1797,42,146,10094,3592,13686,0.00762245,-0.061689,-0.998066
6049,0,1434,238,1639,47,140,9547,2630,12177,0.00143762,-0.0791478,-0.996862
2526,0,515,91,661,19,50,3862,1497,5359,0.0229635,-0.0698979,-0.99729
