timestamp,nx,ny,nz,visibility_score,inlier_score,combined_score
1774618503.272284031,0.036305,0.033932,-0.998765,0.2636,0.9976,0.5572
1774618503.322312117,0.075765,0.057672,-0.995457,0.2642,0.8639,0.5041
1774618503.422380924,0.015426,0.037752,-0.999168,0.2662,1.0000,0.5597
1774618503.522336006,0.035987,0.035083,-0.998736,0.2687,1.0000,0.5612
1774618503.622368097,0.013483,0.029915,-0.999462,0.2503,1.0000,0.5502
1774618503.722369909,0.038578,0.035392,-0.998629,0.2674,0.9250,0.5305
1774618503.821984053,0.016590,0.028641,-0.999452,0.3310,1.0000,0.5986
1774618503.972004890,0.030328,0.029068,-0.999117,0.3310,0.9905,0.5948
1774618504.072470903,0.030682,0.032546,-0.998999,0.2835,1.0000,0.5701
1774618504.172847986,0.036474,0.033777,-0.998764,0.2004,1.0000,0.5202
1774618504.272851944,0.026025,0.026786,-0.999302,0.1250,1.0000,0.4750
1774618504.322427034,0.009359,0.028806,-0.999541,0.0926,1.0000,0.4556
1774618504.422462940,0.019414,0.033806,-0.999240,0.0500,1.0000,0.4300
1774618504.522145033,0.016883,0.026789,-0.999499,0.0327,1.0000,0.4196
1774618504.572088957,0.005477,0.027288,-0.999613,0.0317,1.0000,0.4190
1774618504.622163057,0.006224,0.029590,-0.999543,0.0312,1.0000,0.4187
1774618504.721709013,0.024715,0.029996,-0.999244,0.0388,1.0000,0.4233
1774618504.821732044,0.022778,0.028800,-0.999326,0.0384,1.0000,0.4230
1774618504.921756029,0.008031,0.034853,-0.999360,0.0419,1.0000,0.4251
1774618504.971712112,0.025889,0.031387,-0.999172,0.0439,1.0000,0.4263
1774618505.021742105,0.017453,0.035235,-0.999227,0.0468,1.0000,0.4281
1774618505.121812105,0.025300,0.030060,-0.999228,0.0455,1.0000,0.4273
1774618505.171760082,0.020963,0.027888,-0.999391,0.0482,1.0000,0.4289
1774618505.272181034,0.026396,0.032915,-0.999110,0.0491,1.0000,0.4294
1774618505.322204113,0.028460,0.029869,-0.999149,0.0507,1.0000,0.4304
1774618505.422209978,0.031695,0.029459,-0.999063,0.0558,1.0000,0.4335
1774618505.472203016,0.033239,0.030330,-0.998987,0.0519,1.0000,0.4311
1774618505.572602034,0.030714,0.030469,-0.999064,0.0446,1.0000,0.4268
1774618505.622591019,0.013217,0.031197,-0.999426,0.0424,1.0000,0.4254
1774618505.722253084,0.026829,0.032252,-0.999120,0.0477,1.0000,0.4286
1774618505.771826029,0.023472,0.031827,-0.999218,0.0490,1.0000,0.4294
1774618505.821448088,0.019782,0.030670,-0.999334,0.0455,1.0000,0.4273
1774618505.921117067,0.014354,0.034388,-0.999305,0.0342,1.0000,0.4205
1774618505.970633984,0.029354,0.029194,-0.999143,0.0234,1.0000,0.4140
1774618506.070660114,0.021956,0.031732,-0.999255,0.0137,1.0000,0.4082
1774618506.221081018,0.027542,0.030874,-0.999144,0.0912,1.0000,0.4547
1774618506.271132946,0.029078,0.031813,-0.999071,0.1260,1.0000,0.4756
1774618506.371464968,0.023551,0.031736,-0.999219,0.1808,1.0000,0.5085
1774618506.421541929,0.015957,0.033880,-0.999298,0.2340,1.0000,0.5404
1774618506.521928072,0.027240,0.029737,-0.999187,0.4320,1.0000,0.6592
1774618506.571933985,0.022437,0.031908,-0.999239,0.5338,1.0000,0.7203
1774618506.621937990,0.030076,0.030274,-0.999089,0.6704,1.0000,0.8022
1774618506.671998024,0.025142,0.030601,-0.999215,0.7992,1.0000,0.8795
1774618506.722002983,0.025549,0.034541,-0.999077,0.9207,1.0000,0.9524
1774618506.771541119,0.023851,0.031263,-0.999227,0.9941,1.0000,0.9965
1774618506.821583033,0.025305,0.032233,-0.999160,0.9411,1.0000,0.9647
1774618506.871609926,0.021552,0.032417,-0.999242,0.6526,1.0000,0.7915
1774618506.921614885,0.015721,0.028218,-0.999478,0.1094,0.9828,0.4588
1774618506.971626997,0.015829,0.032092,-0.999360,0.6577,1.0000,0.7946
1774618507.021677017,0.023849,0.031318,-0.999225,0.9632,1.0000,0.9779
1774618507.071619987,0.031966,0.028585,-0.999080,0.9984,1.0000,0.9991
1774618507.121639013,0.034421,0.029732,-0.998965,0.9228,1.0000,0.9537
1774618507.171612978,0.019316,0.031517,-0.999317,0.6660,1.0000,0.7996
1774618507.221646070,0.026820,0.031591,-0.999141,0.2839,1.0000,0.5703
1774618507.271600008,0.010004,0.022956,-0.999686,0.1850,0.9492,0.4907
1774618507.321670055,0.027600,0.030721,-0.999147,0.4091,1.0000,0.6455
1774618507.421667099,0.029748,0.033221,-0.999005,0.5366,1.0000,0.7219
1774618507.471611023,0.027779,0.031829,-0.999107,0.5281,1.0000,0.7169
1774618507.521655083,0.019810,0.033889,-0.999229,0.4797,1.0000,0.6878
1774618507.572078943,0.023951,0.032825,-0.999174,0.3815,1.0000,0.6289
1774618507.622057915,0.021096,0.030486,-0.999313,0.2230,1.0000,0.5338
1774618507.672493935,0.028714,0.029795,-0.999144,0.1099,1.0000,0.4659
1774618507.722470999,0.028288,0.031285,-0.999110,0.2999,1.0000,0.5800
1774618507.772501945,0.028580,0.031458,-0.999096,0.4232,1.0000,0.6539
1774618507.822472095,0.025915,0.035060,-0.999049,0.4939,1.0000,0.6964
1774618507.872153997,0.024626,0.034057,-0.999116,0.4562,1.0000,0.6737
1774618507.922117949,0.023970,0.028882,-0.999295,0.2897,1.0000,0.5738
1774618507.971666098,0.016779,0.030600,-0.999391,0.1302,1.0000,0.4781
1774618508.071772099,0.028010,0.030886,-0.999130,0.1080,1.0000,0.4648
1774618508.171724081,0.024996,0.031421,-0.999194,0.3889,1.0000,0.6333
1774618508.221785069,0.005490,0.031389,-0.999492,0.6579,1.0000,0.7947
1774618508.271724939,0.033769,0.029291,-0.999000,0.8251,1.0000,0.8951
1774618508.322199106,0.029837,0.031016,-0.999073,0.8060,1.0000,0.8836
1774618508.372167110,0.032124,0.032044,-0.998970,0.6057,1.0000,0.7634
1774618508.422629118,0.026307,0.029813,-0.999209,0.2044,1.0000,0.5226
1774618508.472573042,0.023378,0.028668,-0.999316,0.5557,1.0000,0.7334
1774618508.522602081,0.025969,0.031695,-0.999160,0.7849,1.0000,0.8709
1774618508.572566032,0.004397,0.029307,-0.999561,0.8131,1.0000,0.8879
1774618508.622184992,0.038262,0.030666,-0.998797,0.6737,1.0000,0.8042
1774618508.671823025,0.019344,0.030322,-0.999353,0.4517,1.0000,0.6710
1774618508.721837044,0.026824,0.034189,-0.999055,0.1474,1.0000,0.4884
1774618508.771425009,0.034005,0.030884,-0.998944,0.2802,1.0000,0.5681
1774618508.921066046,0.033916,0.029888,-0.998978,0.7470,1.0000,0.8482
1774618508.970998049,0.023647,0.030908,-0.999242,0.8266,1.0000,0.8960
1774618509.071016073,0.013792,0.023793,-0.999622,0.6679,1.0000,0.8007
1774618509.121032953,0.020414,0.025610,-0.999464,0.1499,1.0000,0.4899
1774618509.171471119,0.025394,0.032573,-0.999147,0.5332,1.0000,0.7199
1774618509.221483946,0.016535,0.031804,-0.999357,0.6282,1.0000,0.7769
1774618509.271054983,0.033684,0.030331,-0.998972,0.5167,1.0000,0.7100
1774618509.321069002,0.020383,0.030716,-0.999320,0.3474,1.0000,0.6084
1774618509.371121883,0.019078,0.029662,-0.999378,0.1337,1.0000,0.4802
1774618509.420701027,0.023298,0.028521,-0.999322,0.1672,1.0000,0.5003
