timestamp,normal_type,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable,recovered_from_segmentation_failure
1784806284.271682,smoothed_scored,-0.0209993,-0.131949,0.991034,164.347,3.06178,0.111263,0.0425296,0.0872061,0.111263,0.0425296,0.0872061,23,5408,0.00425296,0,1,0
1784806284.321287,raw,0.0945968,-0.149507,0.984225,162.155,5.7414,0.174492,0.0379335,0.126697,0.174492,0.0379335,0.126697,21,5536,0.00379335,0,1,0
1784806284.321287,scored,0.0945968,-0.149507,0.984225,162.155,5.7414,0.174492,0.0379335,0.126697,0.174492,0.0379335,0.126697,21,5536,0.00379335,0,1,0
1784806284.321287,smoothed_raw,0.0325861,-0.136913,0.990047,162.155,5.7414,0.174492,0.0379335,0.126697,0.174492,0.0379335,0.126697,21,5536,0.00379335,0,1,0
1784806284.321287,smoothed_scored,0.0698066,-0.143853,0.987134,162.155,5.7414,0.174492,0.0379335,0.126697,0.174492,0.0379335,0.126697,21,5536,0.00379335,0,1,0
1784806284.470272,raw,0.229708,-0.234039,0.944701,159.363,11.2479,0.308244,0,0.200358,0.308244,0,0.200358,18,2560,0.00703125,0,1,0
1784806284.470272,scored,0.229708,-0.234039,0.944701,159.363,11.2479,0.308244,0,0.200358,0.308244,0,0.200358,18,2560,0.00703125,0,1,0
1784806284.470272,smoothed_raw,0.144949,-0.184066,0.972168,159.363,11.2479,0.308244,0,0.200358,0.308244,0,0.200358,18,2560,0.00703125,0,1,0
1784806284.470272,smoothed_scored,0.196037,-0.213728,0.957021,159.363,11.2479,0.308244,0,0.200358,0.308244,0,0.200358,18,2560,0.00703125,0,1,0
1784806284.520537,raw,0.22722,-0.277986,0.933325,159.164,12.3248,0.331981,0.127389,0.260374,0.331981,0.127389,0.260374,32,2512,0.0127389,0,1,0
1784806284.520537,scored,0.22722,-0.277986,0.933325,159.164,12.3248,0.331981,0.127389,0.260374,0.331981,0.127389,0.260374,32,2512,0.0127389,0,1,0
1784806284.520537,smoothed_raw,0.219248,-0.246828,0.943931,159.164,12.3248,0.331981,0.127389,0.260374,0.331981,0.127389,0.260374,32,2512,0.0127389,0,1,0
1784806284.520537,smoothed_scored,0.226051,-0.266249,0.937023,159.164,12.3248,0.331981,0.127389,0.260374,0.331981,0.127389,0.260374,32,2512,0.0127389,0,1,0
1784806284.570119,raw,0.247068,-0.304859,0.919792,158.592,13.8927,0.369751,0.12037,0.282468,0.369751,0.12037,0.282468,26,2160,0.012037,0,1,0
1784806284.570119,scored,0.247068,-0.304859,0.919792,158.592,13.8927,0.369751,0.12037,0.282468,0.369751,0.12037,0.282468,26,2160,0.012037,0,1,0
1784806284.570119,smoothed_raw,0.23557,-0.286122,0.928785,158.592,13.8927,0.369751,0.12037,0.282468,0.369751,0.12037,0.282468,26,2160,0.012037,0,1,0
1784806284.570119,smoothed_scored,0.242293,-0.297755,0.923383,158.592,13.8927,0.369751,0.12037,0.282468,0.369751,0.12037,0.282468,26,2160,0.012037,0,1,0
1784806285.872087,raw,-0.334497,0.397397,0.85451,31.7305,18.2355,0.574758,0,0.373592,0.574758,0,0.373592,17,6928,0.00245381,0,1,0
1784806285.872087,scored,-0.334497,0.397397,0.85451,31.7305,18.2355,0.574758,0,0.373592,0.574758,0,0.373592,17,6928,0.00245381,0,1,0
1784806285.872087,smoothed_raw,0.00134557,-0.00859921,0.999962,31.7305,18.2355,0.574758,0,0.373592,0.574758,0,0.373592,17,6928,0.00245381,0,1,0
1784806285.872087,smoothed_scored,-0.210142,0.246721,0.946028,31.7305,18.2355,0.574758,0,0.373592,0.574758,0,0.373592,17,6928,0.00245381,0,1,0
1784806285.972700,raw,-0.147386,0.012519,0.989,12.8923,12.2316,0.232327,0,0.151013,0.232327,0,0.151013,9,1616,0.00556931,0,1,0
1784806285.972700,scored,-0.147386,0.012519,0.989,12.8923,12.2316,0.232327,0,0.151013,0.232327,0,0.151013,9,1616,0.00556931,0,1,0
1784806285.972700,smoothed_raw,-0.224124,0.194161,0.955023,12.8923,12.2316,0.232327,0,0.151013,0.232327,0,0.151013,9,1616,0.00556931,0,1,0
1784806285.972700,smoothed_scored,-0.188739,0.0984611,0.977079,12.8923,12.2316,0.232327,0,0.151013,0.232327,0,0.151013,9,1616,0.00556931,0,1,0
1784806286.022304,raw,-0.065741,-0.112547,0.991469,4.70281,9.55133,0.097482,0,0.0633633,0.097482,0,0.0633633,14,3088,0.00453368,0,1,0
1784806286.022304,scored,-0.065741,-0.112547,0.991469,4.70281,9.55133,0.097482,0,0.0633633,0.097482,0,0.0633633,14,3088,0.00453368,0,1,0
1784806286.022304,smoothed_raw,-0.126654,-0.0143277,0.991843,4.70281,9.55133,0.097482,0,0.0633633,0.097482,0,0.0633633,14,3088,0.00453368,0,1,0
1784806286.022304,smoothed_scored,-0.088432,-0.0772791,0.99308,4.70281,9.55133,0.097482,0,0.0633633,0.097482,0,0.0633633,14,3088,0.00453368,0,1,0
1784806286.123928,raw,-0.00972798,-0.242827,0.970021,-8.47724,2.50051,0.0646816,0,0.042043,0.0646816,0,0.042043,13,3488,0.00372706,0,1,0
1784806286.123928,scored,-0.00972798,-0.242827,0.970021,-8.47724,2.50051,0.0646816,0,0.042043,0.0646816,0,0.042043,13,3488,0.00372706,0,1,0
1784806286.123928,smoothed_raw,-0.0484772,-0.158489,0.98617,-8.47724,2.50051,0.0646816,0,0.042043,0.0646816,0,0.042043,13,3488,0.00372706,0,1,0
1784806286.123928,smoothed_scored,-0.0245497,-0.209862,0.977423,-8.47724,2.50051,0.0646816,0,0.042043,0.0646816,0,0.042043,13,3488,0.00372706,0,1,0
