timestamp,preprocessing_ms,plane_ms,total_ms,success
1784806305.767449,0.528000,0.000000,0.528000,1
1784806305.818119,0.791000,0.000000,0.791000,1
1784806305.867854,0.464000,0.000000,0.464000,1
1784806305.926257,0.704000,0.000000,0.704000,1
1784806305.976520,0.656000,0.000000,0.656000,1
1784806306.025061,0.841000,0.000000,0.841000,1
1784806306.072683,0.850000,0.000000,0.850000,1
1784806306.119327,0.871000,0.000000,0.871000,1
1784806306.168756,0.783000,0.000000,0.783000,1
1784806306.218953,0.717000,0.000000,0.717000,1
1784806306.269327,1.128000,0.000000,1.128000,1
1784806306.319523,0.700000,0.000000,0.700000,1
1784806306.369738,0.561000,0.000000,0.561000,1
1784806306.419769,0.435000,0.000000,0.435000,1
1784806306.470181,0.380000,0.000000,0.380000,1
1784806306.520789,0.397000,0.000000,0.397000,1
1784806306.570625,0.454000,0.000000,0.454000,1
1784806306.621419,0.672000,0.000000,0.672000,1
1784806306.671279,0.833000,0.000000,0.833000,1
1784806306.722024,0.865000,0.000000,0.865000,1
1784806306.772385,0.733000,0.000000,0.733000,1
1784806306.823025,0.570000,0.000000,0.570000,1
1784806306.873029,0.496000,0.059000,0.555000,1
1784806306.923192,0.879000,0.072000,0.951000,1
1784806306.973234,0.612000,0.000000,0.612000,1
1784806307.022817,0.938000,0.119000,1.057000,1
1784806307.072414,0.963000,0.000000,0.963000,1
1784806307.121944,0.860000,0.248000,1.108000,1
1784806307.179913,0.817000,0.000000,0.817000,1
1784806307.228853,1.054000,0.000000,1.054000,1
1784806307.278690,1.380000,0.000000,1.380000,1
1784806307.319896,0.909000,0.000000,0.909000,1
1784806307.369670,1.292000,0.000000,1.292000,1
1784806307.419505,1.206000,0.000000,1.206000,1
1784806307.469536,0.715000,0.000000,0.715000,1
1784806307.519548,0.992000,0.000000,0.992000,1
1784806307.568920,0.501000,0.000000,0.501000,1
1784806307.619307,0.447000,0.000000,0.447000,1
1784806307.669524,0.419000,0.000000,0.419000,1
1784806307.719339,0.417000,0.000000,0.417000,1
1784806307.769733,2.230000,0.000000,2.230000,1
1784806307.820234,0.771000,0.000000,0.771000,1
1784806307.870009,0.776000,0.000000,0.776000,1
1784806307.920834,0.626000,0.000000,0.626000,1
1784806307.970808,0.483000,0.000000,0.483000,1
1784806308.020831,0.470000,0.000000,0.470000,1
1784806308.071207,0.566000,0.000000,0.566000,1
1784806308.120993,0.657000,0.000000,0.657000,1
1784806308.171013,0.604000,0.000000,0.604000,1
1784806308.221214,0.544000,0.000000,0.544000,1
1784806308.279021,0.543000,0.000000,0.543000,1
1784806308.328837,1.627000,0.000000,1.627000,1
1784806308.371768,0.908000,0.000000,0.908000,1
1784806308.420871,0.753000,0.000000,0.753000,1
1784806308.470491,0.685000,0.000000,0.685000,1
1784806308.520904,0.681000,0.000000,0.681000,1
1784806308.570493,0.600000,0.000000,0.600000,1
