timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable
1762174420.486405,0.00384931,0.126827,-0.991917,24.3362,7.88062,0.267255,0,0.160353,0.267255,0,0.160353,18,496,0.0362903,0,1
1762174420.536488,-0.00226919,0.121808,-0.992551,24.7248,7.87469,0.26987,0,0.161922,0.26987,0,0.161922,16,416,0.0384615,0,1
1762174420.586409,-0.00525511,0.112579,-0.993629,25.0277,7.72429,0.268391,0,0.161035,0.268391,0,0.161035,15,432,0.0347222,0,1
1762174420.636450,0.00473324,0.131589,-0.991293,24.4551,7.68464,0.263486,0,0.158092,0.263486,0,0.158092,18,528,0.0340909,0,1
1762174420.686459,-0.00348816,0.120592,-0.992696,24.7414,7.71906,0.266293,0,0.159776,0.266293,0,0.159776,16,448,0.0357143,0,1
1762174420.736500,0.00115124,0.122289,-0.992494,24.4809,7.57695,0.261124,0,0.156675,0.261124,0,0.156675,18,480,0.0375,0,1
1762174420.786546,0.0175842,0.136201,-0.990525,24.6975,7.85087,0.269114,0,0.161468,0.269114,0,0.161468,17,480,0.0354167,0,1
1762174420.836439,0.0152665,0.138637,-0.990226,24.2907,7.88556,0.267045,0,0.160227,0.267045,0,0.160227,18,480,0.0375,0,1
1762174420.886530,0.0100194,0.138877,-0.990259,24.7436,7.92063,0.271091,0,0.162654,0.271091,0,0.162654,17,448,0.0379464,0,1
1762174420.936855,0.00416551,0.138112,-0.990408,24.4779,7.92052,0.269203,0,0.161522,0.269203,0,0.161522,19,496,0.0383065,0,1
1762174420.986506,0.00194017,0.166844,-0.985981,24.5366,7.75873,0.265805,0,0.159483,0.265805,0,0.159483,13,416,0.03125,0,1
1762174421.036474,0.0119159,0.13961,-0.990135,24.5007,7.7508,0.265366,0,0.15922,0.265366,0,0.15922,16,432,0.037037,0,1
1762174421.086527,0.0123885,0.152468,-0.988231,24.5916,7.90979,0.26976,0.126263,0.212361,0.26976,0.126263,0.212361,20,528,0.0378788,0,0
1762174421.136503,0.0129524,0.152186,-0.988267,24.8002,7.86765,0.270232,0,0.162139,0.270232,0,0.162139,16,480,0.0333333,0,1
1762174421.186553,0.0128305,0.147532,-0.988974,24.8014,7.71761,0.266675,0,0.160005,0.266675,0,0.160005,15,432,0.0347222,0,1
1762174421.236527,0.00890685,0.151037,-0.988488,24.6743,7.73265,0.26615,0,0.15969,0.26615,0,0.15969,19,480,0.0395833,0,1
1762174421.286560,0.00483205,0.157093,-0.987572,24.3487,7.75689,0.264439,0,0.158663,0.264439,0,0.158663,15,432,0.0347222,0,1
1762174421.336554,0.00456767,0.15614,-0.987724,24.7644,7.58865,0.263352,0,0.158011,0.263352,0,0.158011,17,432,0.0393519,0,1
1762174421.386529,0.00683642,0.155996,-0.987734,24.7517,7.55686,0.262509,0,0.157505,0.262509,0,0.157505,16,432,0.037037,0,1
1762174421.436556,0.00489322,0.161805,-0.986811,24.5405,7.6821,0.264022,0,0.158413,0.264022,0,0.158413,15,400,0.0375,0,1
1762174421.486590,0.00544438,0.161965,-0.986782,24.6054,7.76019,0.266321,0,0.159793,0.266321,0,0.159793,18,448,0.0401786,0,1
1762174421.536661,0.0172007,0.134809,-0.990722,24.5462,7.84682,0.267952,0,0.160771,0.267952,0,0.160771,16,448,0.0357143,0,1
1762174421.586550,0.0225595,0.132769,-0.99089,24.4413,7.83918,0.267029,0,0.160217,0.267029,0,0.160217,16,480,0.0333333,0,1
1762174421.636576,0.0114776,0.147661,-0.988972,24.6963,7.67723,0.264988,0,0.158993,0.264988,0,0.158993,17,512,0.0332031,0,1
1762174421.686619,0.0151512,0.136841,-0.990477,24.3285,7.50361,0.258342,0,0.155005,0.258342,0,0.155005,16,480,0.0333333,0,1
1762174421.736194,0.0124328,0.143848,-0.989522,24.4496,7.45954,0.258135,0,0.154881,0.258135,0,0.154881,17,496,0.0342742,0,1
1762174421.786259,0.00943197,0.151291,-0.988444,24.626,7.70586,0.265179,0,0.159107,0.265179,0,0.159107,19,528,0.0359848,0,1
1762174421.836168,0.00811572,0.157576,-0.987474,24.3568,7.48149,0.258016,0,0.15481,0.258016,0,0.15481,19,512,0.0371094,0,1
1762174421.886210,0.0151241,0.139004,-0.990177,24.5765,7.81645,0.267449,0,0.160469,0.267449,0,0.160469,15,480,0.03125,0,1
1762174421.936205,0.0126691,0.152444,-0.988231,24.5022,7.877,0.268352,0.126263,0.211516,0.268352,0.126263,0.211516,20,528,0.0378788,0,0
1762174421.986187,0.00368877,0.164923,-0.9863,24.8692,7.49154,0.26175,0,0.15705,0.26175,0,0.15705,16,480,0.0333333,0,1
1762174422.036186,0.0175438,0.141375,-0.989801,24.348,7.98804,0.269859,0,0.161915,0.269859,0,0.161915,19,480,0.0395833,0,1
1762174422.086261,0.00328659,0.152297,-0.988329,24.2369,7.51118,0.257885,0,0.154731,0.257885,0,0.154731,18,496,0.0362903,0,1
1762174422.136237,-0.00183458,0.116085,-0.993237,25.0027,7.71341,0.26796,0,0.160776,0.26796,0,0.160776,16,480,0.0333333,0,1
1762174422.186228,-0.00256734,0.120457,-0.992715,24.3938,8.20354,0.27524,0.136905,0.219906,0.27524,0.136905,0.219906,23,560,0.0410714,0,0
1762174422.236271,-0.00585159,0.120226,-0.992729,24.6678,7.82062,0.268188,0.130952,0.213294,0.268188,0.130952,0.213294,22,560,0.0392857,0,0
1762174422.286291,-0.00063553,0.122954,-0.992412,24.4474,8.01678,0.271249,0,0.16275,0.271249,0,0.16275,16,416,0.0384615,0,1
1762174422.336289,-0.00398785,0.117192,-0.993101,24.1713,7.76768,0.263434,0,0.15806,0.263434,0,0.15806,18,480,0.0375,0,1
1762174422.386285,-0.00155017,0.120049,-0.992767,24.6371,8.00415,0.272312,0,0.163387,0.272312,0,0.163387,18,464,0.0387931,0,1
1762174422.436244,-0.00259024,0.114823,-0.993383,24.9364,7.79867,0.269539,0,0.161723,0.269539,0,0.161723,17,464,0.0366379,0,1
1762174422.486285,0.0071522,0.121008,-0.992626,25.0982,8.72134,0.292648,0,0.175589,0.292648,0,0.175589,15,464,0.0323276,0,1
1762174422.536284,0.00725562,0.113549,-0.993506,25.9041,9.12201,0.308213,0,0.184928,0.308213,0,0.184928,15,448,0.0334821,0,1
1762174422.586328,0.00519634,0.11475,-0.993381,25.6836,8.5411,0.292606,0,0.175563,0.292606,0,0.175563,17,496,0.0342742,0,1
1762174422.636296,0.0268395,0.100861,-0.994538,28.1251,9.61628,0.336329,0,0.201798,0.336329,0,0.201798,14,496,0.0282258,0,0
1762174422.686341,0.0246134,0.0922523,-0.995431,30.3765,10.7833,0.381395,0,0.228837,0.381395,0,0.228837,15,512,0.0292969,0,0
1762174422.736284,0.0274428,0.0931481,-0.995274,31.1513,9.87319,0.362401,0,0.217441,0.362401,0,0.217441,15,512,0.0292969,0,0
